년도,축제이름,지역,검색량_비율,,,,,,,,
2004,강경젓갈축제,충청남도,47,,,,,,,,
2004,강경젓갈축제,대전광역시,80,,,,,,,,
2004,강경젓갈축제,전라북도,100,,,,,,,,
2004,강경젓갈축제,충청북도,10,,,,,,,,
2004,강경젓갈축제,대구광역시,100,,,,,,,,
2004,강경젓갈축제,부산광역시,54,,,,,,,,
2004,강경젓갈축제,경상북도,51,,,,,,,,
2004,강경젓갈축제,경기도,45,,,,,,,,
2004,강경젓갈축제,서울특별시,42,,,,,,,,
2004,강경젓갈축제,경상남도,100,,,,,,,,
2005,강경젓갈축제,충청남도,47,,,,,,,,
2005,강경젓갈축제,대전광역시,80,,,,,,,,
2005,강경젓갈축제,전라북도,100,,,,,,,,
2005,강경젓갈축제,충청북도,10,,,,,,,,
2005,강경젓갈축제,대구광역시,100,,,,,,,,
2005,강경젓갈축제,부산광역시,54,,,,,,,,
2005,강경젓갈축제,경상북도,51,,,,,,,,
2005,강경젓갈축제,경기도,45,,,,,,,,
2005,강경젓갈축제,서울특별시,42,,,,,,,,
2005,강경젓갈축제,경상남도,100,,,,,,,,
2006,강경젓갈축제,충청남도,47,,,,,,,,
2006,강경젓갈축제,대전광역시,80,,,,,,,,
2006,강경젓갈축제,전라북도,100,,,,,,,,
2006,강경젓갈축제,충청북도,10,,,,,,,,
2006,강경젓갈축제,대구광역시,100,,,,,,,,
2006,강경젓갈축제,부산광역시,54,,,,,,,,
2006,강경젓갈축제,경상북도,51,,,,,,,,
2006,강경젓갈축제,경기도,45,,,,,,,,
2006,강경젓갈축제,서울특별시,42,,,,,,,,
2006,강경젓갈축제,경상남도,100,,,,,,,,
2007,강경젓갈축제,충청남도,47,,,,,,,,
2007,강경젓갈축제,대전광역시,80,,,,,,,,
2007,강경젓갈축제,전라북도,100,,,,,,,,
2007,강경젓갈축제,충청북도,10,,,,,,,,
2007,강경젓갈축제,대구광역시,100,,,,,,,,
2007,강경젓갈축제,부산광역시,54,,,,,,,,
2007,강경젓갈축제,경상북도,51,,,,,,,,
2007,강경젓갈축제,경기도,45,,,,,,,,
2007,강경젓갈축제,서울특별시,42,,,,,,,,
2007,강경젓갈축제,경상남도,100,,,,,,,,
2008,강경젓갈축제,충청남도,47,,,,,,,,
2008,강경젓갈축제,대전광역시,80,,,,,,,,
2008,강경젓갈축제,전라북도,100,,,,,,,,
2008,강경젓갈축제,충청북도,10,,,,,,,,
2008,강경젓갈축제,대구광역시,100,,,,,,,,
2008,강경젓갈축제,부산광역시,54,,,,,,,,
2008,강경젓갈축제,경상북도,51,,,,,,,,
2008,강경젓갈축제,경기도,45,,,,,,,,
2008,강경젓갈축제,서울특별시,42,,,,,,,,
2008,강경젓갈축제,경상남도,100,,,,,,,,
2009,강경젓갈축제,충청남도,47,,,,,,,,
2009,강경젓갈축제,대전광역시,80,,,,,,,,
2009,강경젓갈축제,전라북도,100,,,,,,,,
2009,강경젓갈축제,충청북도,10,,,,,,,,
2009,강경젓갈축제,대구광역시,100,,,,,,,,
2009,강경젓갈축제,부산광역시,54,,,,,,,,
2009,강경젓갈축제,경상북도,51,,,,,,,,
2009,강경젓갈축제,경기도,45,,,,,,,,
2009,강경젓갈축제,서울특별시,42,,,,,,,,
2009,강경젓갈축제,경상남도,100,,,,,,,,
2010,강경젓갈축제,충청남도,47,,,,,,,,
2010,강경젓갈축제,대전광역시,80,,,,,,,,
2010,강경젓갈축제,전라북도,100,,,,,,,,
2010,강경젓갈축제,충청북도,10,,,,,,,,
2010,강경젓갈축제,대구광역시,100,,,,,,,,
2010,강경젓갈축제,부산광역시,54,,,,,,,,
2010,강경젓갈축제,경상북도,51,,,,,,,,
2010,강경젓갈축제,경기도,45,,,,,,,,
2010,강경젓갈축제,서울특별시,42,,,,,,,,
2010,강경젓갈축제,경상남도,100,,,,,,,,
2011,강경젓갈축제,충청남도,47,,,,,,,,
2011,강경젓갈축제,대전광역시,80,,,,,,,,
2011,강경젓갈축제,전라북도,100,,,,,,,,
2011,강경젓갈축제,충청북도,10,,,,,,,,
2011,강경젓갈축제,대구광역시,100,,,,,,,,
2011,강경젓갈축제,부산광역시,54,,,,,,,,
2011,강경젓갈축제,경상북도,51,,,,,,,,
2011,강경젓갈축제,경기도,45,,,,,,,,
2011,강경젓갈축제,서울특별시,42,,,,,,,,
2011,강경젓갈축제,경상남도,100,,,,,,,,
2012,강경젓갈축제,충청남도,47,,,,,,,,
2012,강경젓갈축제,대전광역시,80,,,,,,,,
2012,강경젓갈축제,전라북도,100,,,,,,,,
2012,강경젓갈축제,충청북도,10,,,,,,,,
2012,강경젓갈축제,대구광역시,100,,,,,,,,
2012,강경젓갈축제,부산광역시,54,,,,,,,,
2012,강경젓갈축제,경상북도,51,,,,,,,,
2012,강경젓갈축제,경기도,45,,,,,,,,
2012,강경젓갈축제,서울특별시,42,,,,,,,,
2012,강경젓갈축제,경상남도,100,,,,,,,,
2013,강경젓갈축제,충청남도,47,,,,,,,,
2013,강경젓갈축제,대전광역시,80,,,,,,,,
2013,강경젓갈축제,전라북도,100,,,,,,,,
2013,강경젓갈축제,충청북도,10,,,,,,,,
2013,강경젓갈축제,대구광역시,100,,,,,,,,
2013,강경젓갈축제,부산광역시,54,,,,,,,,
2013,강경젓갈축제,경상북도,51,,,,,,,,
2013,강경젓갈축제,경기도,45,,,,,,,,
2013,강경젓갈축제,서울특별시,42,,,,,,,,
2013,강경젓갈축제,경상남도,100,,,,,,,,
2014,강경젓갈축제,충청남도,47,,,,,,,,
2014,강경젓갈축제,대전광역시,80,,,,,,,,
2014,강경젓갈축제,전라북도,100,,,,,,,,
2014,강경젓갈축제,충청북도,10,,,,,,,,
2014,강경젓갈축제,대구광역시,100,,,,,,,,
2014,강경젓갈축제,부산광역시,54,,,,,,,,
2014,강경젓갈축제,경상북도,51,,,,,,,,
2014,강경젓갈축제,경기도,45,,,,,,,,
2014,강경젓갈축제,서울특별시,42,,,,,,,,
2014,강경젓갈축제,경상남도,100,,,,,,,,
2015,강경젓갈축제,충청남도,47,,,,,,,,
2015,강경젓갈축제,대전광역시,80,,,,,,,,
2015,강경젓갈축제,전라북도,100,,,,,,,,
2015,강경젓갈축제,충청북도,10,,,,,,,,
2015,강경젓갈축제,대구광역시,100,,,,,,,,
2015,강경젓갈축제,부산광역시,54,,,,,,,,
2015,강경젓갈축제,경상북도,51,,,,,,,,
2015,강경젓갈축제,경기도,45,,,,,,,,
2015,강경젓갈축제,서울특별시,42,,,,,,,,
2015,강경젓갈축제,경상남도,100,,,,,,,,
2016,강경젓갈축제,충청남도,47,,,,,,,,
2016,강경젓갈축제,대전광역시,80,,,,,,,,
2016,강경젓갈축제,전라북도,100,,,,,,,,
2016,강경젓갈축제,충청북도,10,,,,,,,,
2016,강경젓갈축제,대구광역시,100,,,,,,,,
2016,강경젓갈축제,부산광역시,54,,,,,,,,
2016,강경젓갈축제,경상북도,51,,,,,,,,
2016,강경젓갈축제,경기도,45,,,,,,,,
2016,강경젓갈축제,서울특별시,42,,,,,,,,
2016,강경젓갈축제,경상남도,100,,,,,,,,
2017,강경젓갈축제,충청남도,47,,,,,,,,
2017,강경젓갈축제,대전광역시,80,,,,,,,,
2017,강경젓갈축제,전라북도,100,,,,,,,,
2017,강경젓갈축제,충청북도,10,,,,,,,,
2017,강경젓갈축제,대구광역시,100,,,,,,,,
2017,강경젓갈축제,부산광역시,54,,,,,,,,
2017,강경젓갈축제,경상북도,51,,,,,,,,
2017,강경젓갈축제,경기도,45,,,,,,,,
2017,강경젓갈축제,서울특별시,42,,,,,,,,
2017,강경젓갈축제,경상남도,100,,,,,,,,
2018,강경젓갈축제,충청남도,47,,,,,,,,
2018,강경젓갈축제,대전광역시,80,,,,,,,,
