날짜,강경젓갈축제,보령머드축제,금산인삼축제,논산딸기축제,괴산고추축제,해미읍성축제
04-Jan,0,0,0,0,0,0
04-Feb,0,0,0,0,0,0
04-Mar,0,0,0,0,0,0
04-Apr,0,0,0,0,0,0
04-May,0,0,0,0,0,0
04-Jun,0,0,0,0,0,0
04-Jul,0,0,0,0,0,0
04-Aug,0,0,0,0,0,0
04-Sep,0,0,0,0,0,0
04-Oct,0,0,0,0,0,0
04-Nov,0,0,0,0,0,0
04-Dec,0,0,0,0,0,0
05-Jan,0,0,0,0,0,0
05-Feb,0,0,0,0,0,0
05-Mar,0,0,0,0,0,0
05-Apr,0,0,0,0,0,0
05-May,0,0,0,0,0,0
05-Jun,0,0,0,0,0,0
05-Jul,0,0,0,0,0,0
05-Aug,0,0,0,0,0,0
05-Sep,0,0,0,0,0,0
05-Oct,0,0,0,0,0,0
05-Nov,0,0,0,0,0,0
05-Dec,0,0,0,0,0,0
06-Jan,0,0,0,0,0,0
06-Feb,0,0,0,0,0,0
06-Mar,0,0,0,0,0,0
06-Apr,0,0,0,0,0,0
06-May,0,0,0,0,0,0
06-Jun,0,0,0,0,0,0
06-Jul,0,0,0,0,0,0
06-Aug,0,0,0,0,0,0
06-Sep,0,0,0,0,0,0
06-Oct,0,0,0,0,0,0
06-Nov,0,0,0,0,0,0
06-Dec,0,0,0,0,0,0
07-Jan,0,0,0,0,0,0
07-Feb,0,0,0,0,0,0
07-Mar,0,0,0,0,0,0
07-Apr,0,0,0,0,0,0
07-May,0,0,0,0,0,0
07-Jun,0,0,0,0,0,0
07-Jul,0,59,0,0,0,0
07-Aug,0,0,0,0,0,0
07-Sep,0,0,0,0,0,0
07-Oct,0,0,0,0,0,0
07-Nov,0,0,0,0,0,0
07-Dec,0,0,0,0,0,0
08-Jan,0,0,0,0,0,0
08-Feb,0,0,0,0,0,0
08-Mar,0,0,0,0,0,0
08-Apr,0,0,0,0,0,0
08-May,0,0,0,0,0,0
08-Jun,0,0,0,0,0,0
08-Jul,0,0,0,0,0,0
08-Aug,0,0,0,0,0,0
08-Sep,0,0,0,0,0,0
08-Oct,0,0,0,0,0,0
08-Nov,0,0,0,0,0,0
08-Dec,0,0,0,0,0,0
09-Jan,0,0,0,0,0,0
09-Feb,0,0,0,0,0,0
09-Mar,0,0,0,0,0,0
09-Apr,0,0,0,0,0,0
09-May,0,0,0,0,0,0
09-Jun,0,0,0,0,0,0
09-Jul,0,41,0,0,0,0
09-Aug,0,0,0,0,0,0
09-Sep,0,0,0,0,0,0
09-Oct,0,0,0,0,0,0
09-Nov,0,0,0,0,0,0
09-Dec,0,0,0,0,0,0
10-Jan,0,0,0,0,0,0
10-Feb,0,0,0,0,0,0
10-Mar,0,0,0,0,0,0
10-Apr,0,0,0,0,0,0
10-May,0,0,0,0,0,0
10-Jun,0,0,0,0,0,0
10-Jul,0,96,0,0,0,0
10-Aug,0,0,0,0,0,0
10-Sep,0,0,31,0,0,0
10-Oct,0,0,0,0,0,0
10-Nov,0,0,0,0,0,0
10-Dec,0,0,0,0,0,0
11-Jan,0,0,0,0,0,0
11-Feb,0,0,0,0,0,0
11-Mar,0,0,0,17,0,0
11-Apr,0,0,0,60,0,0
11-May,0,0,0,0,0,0
11-Jun,0,33,0,0,0,0
11-Jul,0,100,0,0,0,0
11-Aug,0,0,23,0,0,0
11-Sep,0,0,72,0,0,0
11-Oct,12,0,55,0,0,0
11-Nov,0,0,9,0,0,0
11-Dec,0,0,0,0,0,0
12-Jan,0,0,0,0,0,0
12-Feb,0,7,0,0,0,0
12-Mar,0,0,0,14,0,0
12-Apr,0,0,0,71,0,0
12-May,0,23,8,9,0,0
12-Jun,0,29,0,0,0,0
12-Jul,0,90,9,0,0,0
12-Aug,0,16,0,0,0,0
12-Sep,0,0,54,0,0,0
12-Oct,13,8,21,0,0,0
12-Nov,0,0,7,0,0,0
12-Dec,0,0,0,0,0,0
13-Jan,0,0,0,0,0,0
13-Feb,0,0,0,10,0,0
13-Mar,0,0,0,19,0,0
13-Apr,0,10,0,36,0,0
13-May,0,13,0,0,0,0
13-Jun,0,27,0,0,0,0
13-Jul,0,78,5,0,0,0
13-Aug,0,12,14,0,34,0
13-Sep,6,0,47,0,29,0
13-Oct,19,0,13,0,0,0
13-Nov,8,7,9,0,0,0
13-Dec,0,0,0,0,0,0
14-Jan,0,0,0,0,0,0
14-Feb,0,0,0,0,0,0
14-Mar,0,0,0,19,0,0
14-Apr,0,0,0,26,0,0
14-May,0,9,5,0,0,0
14-Jun,0,16,0,0,0,0
14-Jul,0,61,6,0,0,0
14-Aug,0,9,10,0,51,0
14-Sep,0,6,62,0,0,0
14-Oct,13,6,21,0,0,0
14-Nov,6,0,11,0,36,0
14-Dec,5,0,0,0,0,0
15-Jan,0,0,0,0,0,0
15-Feb,0,0,7,0,0,0
15-Mar,0,0,0,13,0,0
15-Apr,0,7,0,17,0,0
15-May,0,8,0,0,0,0
15-Jun,0,14,0,0,0,0
15-Jul,0,66,0,0,0,0
15-Aug,0,18,10,0,45,0
15-Sep,0,6,31,0,0,0
15-Oct,20,0,45,0,0,20
15-Nov,5,5,4,0,0,0
15-Dec,0,0,0,0,0,0
16-Jan,0,0,0,0,0,0
16-Feb,0,0,0,0,0,0
16-Mar,0,4,0,6,0,0
16-Apr,0,5,0,0,0,0
16-May,0,11,0,0,0,0
16-Jun,0,12,0,0,0,0
16-Jul,0,65,0,0,0,0
16-Aug,0,14,4,0,37,0
16-Sep,0,8,34,0,26,0
16-Oct,13,5,20,0,0,0
16-Nov,0,4,4,0,0,0
16-Dec,0,4,6,0,0,0
17-Jan,0,0,0,0,0,0
17-Feb,0,0,0,0,0,0
17-Mar,0,6,0,5,0,0
17-Apr,0,3,0,9,0,0
17-May,0,8,0,0,0,0
17-Jun,0,11,0,0,0,0
17-Jul,0,51,0,0,0,0
17-Aug,0,9,6,0,40,0
17-Sep,0,6,35,0,31,0
17-Oct,13,5,30,0,0,0
17-Nov,0,5,0,0,0,0
17-Dec,0,0,0,0,0,0
18-Jan,0,0,0,0,0,0
18-Feb,0,4,0,0,0,0
18-Mar,0,3,0,7,0,0
18-Apr,0,5,0,12,0,0
18-May,0,9,0,0,0,0
18-Jun,0,13,0,0,0,0
18-Jul,0,35,0,0,0,0
18-Aug,0,6,4,0,65,0
18-Sep,0,0,16,0,22,0
18-Oct,7,4,35,0,0,0
18-Nov,0,5,0,0,0,0
18-Dec,0,0,0,0,0,0
19-Jan,0,0,0,0,0,0
19-Feb,0,0,0,0,0,0
19-Mar,0,4,0,19,0,0
19-Apr,0,5,0,0,0,0
19-May,0,9,0,0,0,0
19-Jun,0,11,0,0,0,0
