기준년월,광역지자체,카테고리중분류명,광역지자체 검색건수,광역지자체 전년도 검색건수
202401,충청남도,전체,1540403,1473679
202402,충청남도,전체,1541453,1622466
202403,충청남도,전체,2057139,1868629
202404,충청남도,전체,2317269,2025541
202405,충청남도,전체,2429726,2001642
202406,충청남도,전체,2487747,1995433
202407,충청남도,전체,2626284,1876073
202408,충청남도,전체,3022872,2180816
202409,충청남도,전체,2663035,2356559
202410,충청남도,전체,2837174,2511331
202401,충청남도,기타관광,177564,194454
202401,충청남도,문화관광,134765,116662
202401,충청남도,쇼핑,114546,108836
202401,충청남도,숙박,171746,165848
202401,충청남도,음식,694881,637632
202401,충청남도,자연관광,112481,118523
202401,충청남도,역사관광,65102,68122
202401,충청남도,체험관광,26269,26153
202401,충청남도,레저스포츠,43049,37449
202402,충청남도,기타관광,185957,195184
202402,충청남도,문화관광,139909,133554
202402,충청남도,쇼핑,114354,123725
202402,충청남도,숙박,168215,183819
202402,충청남도,음식,658879,680175
202402,충청남도,자연관광,120200,140658
202402,충청남도,역사관광,74895,79252
202402,충청남도,체험관광,26771,28941
202402,충청남도,레저스포츠,52273,57158
202403,충청남도,기타관광,217274,218837
202403,충청남도,문화관광,224016,163141
202403,충청남도,쇼핑,139090,123522
202403,충청남도,숙박,201064,179755
202403,충청남도,음식,849230,764973
202403,충청남도,자연관광,189814,191252
202403,충청남도,역사관광,121381,118917
202403,충청남도,체험관광,25806,19490
202403,충청남도,레저스포츠,89464,88742
202404,충청남도,기타관광,243814,216827
202404,충청남도,문화관광,269204,171777
202404,충청남도,쇼핑,131865,132418
202404,충청남도,숙박,235929,249127
202404,충청남도,음식,869022,841105
202404,충청남도,자연관광,240853,110954
202404,충청남도,역사관광,190789,183337
202404,충청남도,체험관광,21488,21676
202404,충청남도,레저스포츠,114305,98320
202405,충청남도,기타관광,249447,218526
202405,충청남도,문화관광,251158,178714
202405,충청남도,쇼핑,143375,132891
202405,충청남도,숙박,284044,264896
202405,충청남도,음식,945863,860186
202405,충청남도,자연관광,262281,105390
202405,충청남도,역사관광,134440,113027
202405,충청남도,체험관광,25118,25339
202405,충청남도,레저스포츠,134000,102673
202406,충청남도,기타관광,225156,205815
202406,충청남도,문화관광,231571,185822
202406,충청남도,쇼핑,132240,117676
202406,충청남도,숙박,290417,273576
202406,충청남도,음식,1087360,845273
202406,충청남도,자연관광,251351,128090
202406,충청남도,레저스포츠,126448,107495
202406,충청남도,역사관광,112604,101983
202406,충청남도,체험관광,30600,29703
202407,충청남도,기타관광,187344,189672
202407,충청남도,문화관광,188580,153499
202407,충청남도,쇼핑,111222,107480
202407,충청남도,숙박,260451,275557
202407,충청남도,음식,1463486,853278
202407,충청남도,자연관광,208125,98256
202407,충청남도,레저스포츠,97657,87320
202407,충청남도,역사관광,82725,78763
202407,충청남도,체험관광,26694,32248
202408,충청남도,기타관광,213694,203533
202408,충청남도,문화관광,232812,196141
202408,충청남도,쇼핑,135063,123281
202408,충청남도,숙박,336579,311006
202408,충청남도,음식,1526199,935902
202408,충청남도,자연관광,328927,183888
202408,충청남도,레저스포츠,114099,96451
202408,충청남도,역사관광,96551,91101
202408,충청남도,체험관광,38948,39513
202409,충청남도,기타관광,229391,265019
202409,충청남도,문화관광,209757,218621
202409,충청남도,쇼핑,146011,164503
202409,충청남도,숙박,261412,284663
202409,충청남도,음식,1281101,848230
202409,충청남도,자연관광,292884,320014
202409,충청남도,레저스포츠,116167,119269
202409,충청남도,역사관광,101833,111127
202409,충청남도,체험관광,24479,25113
202410,충청남도,기타관광,247925,276194
202410,충청남도,문화관광,286683,285313
202410,충청남도,쇼핑,163177,179047
202410,충청남도,숙박,295716,294223
202410,충청남도,음식,1245468,867687
202410,충청남도,자연관광,289787,299406
202410,충청남도,레저스포츠,136850,129412
202410,충청남도,역사관광,147111,154706
202410,충청남도,체험관광,24457,25343
