카테고리중분류명,카테고리소분류명,유형별 검색건수,유형별 검색건수 비율
자연관광,자연생태,7560,0.0
자연관광,자연공원,223447,0.9
자연관광,자연경관(하천/해양),1969732,8.4
자연관광,자연경관(산),95964,0.4
역사관광,종교성지,587724,2.5
역사관광,역사유적지,529421,2.3
역사관광,역사유물,10286,0.0
체험관광,공예체험,2037,0.0
체험관광,농/산/어촌체험,97921,0.4
체험관광,웰니스관광,170672,0.7
문화관광,공연시설,235236,1.0
문화관광,테마공원,333094,1.4
문화관광,전시시설,417951,1.8
문화관광,복합관광시설,279582,1.2
문화관광,레저스포츠시설,95075,0.4
문화관광,랜드마크관광,77995,0.3
문화관광,도시공원,420396,1.8
문화관광,기타문화관광지,306757,1.3
문화관광,도시/지역문화관광,2369,0.0
레저스포츠,육상레저스포츠,786007,3.3
레저스포츠,기타레저스포츠,112289,0.5
레저스포츠,항공레저스포츠,728,0.0
레저스포츠,수상레저스포츠,125288,0.5
쇼핑,시장,738413,3.1
쇼핑,대형마트,11945,0.1
쇼핑,기타쇼핑시설,559,0.0
쇼핑,쇼핑몰,279791,1.2
쇼핑,백화점,300235,1.3
음식,외국식,833946,3.5
음식,음식점기타,158262,0.7
음식,전문음식,1666404,7.1
음식,한식,4680202,19.9
음식,카페/찻집,2171253,9.2
음식,간이음식,1111422,4.7
숙박,호스텔,11877,0.1
숙박,호텔,389288,1.7
숙박,펜션/민박,673009,2.9
숙박,콘도미니엄,454758,1.9
숙박,캠핑,307120,1.3
숙박,기타숙박,10871,0.0
숙박,모텔,658650,2.8
기타관광,교통시설,1753639,7.5
기타관광,기타관광,416016,1.8
기타관광,데이트코스,7911,0.0
