기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
계룡시,기타관광,267335,1.1,25569,9.6
계룡시,레저스포츠,267335,1.1,57798,21.6
계룡시,문화관광,267335,1.1,15305,5.7
계룡시,쇼핑,267335,1.1,21270,8.0
계룡시,숙박,267335,1.1,19199,7.2
계룡시,역사관광,267335,1.1,3856,1.4
계룡시,음식,267335,1.1,120954,45.2
계룡시,자연관광,267335,1.1,3287,1.2
계룡시,체험관광,267335,1.1,97,0.0
공주시,기타관광,1570437,6.7,128274,8.2
공주시,레저스포츠,1570437,6.7,42211,2.7
공주시,문화관광,1570437,6.7,144817,9.2
공주시,쇼핑,1570437,6.7,34934,2.2
공주시,숙박,1570437,6.7,142785,9.1
공주시,역사관광,1570437,6.7,326353,20.8
공주시,음식,1570437,6.7,712011,45.3
공주시,자연관광,1570437,6.7,24471,1.6
공주시,체험관광,1570437,6.7,14581,0.9
금산군,기타관광,331796,1.4,27121,8.2
금산군,레저스포츠,331796,1.4,31281,9.4
금산군,문화관광,331796,1.4,18743,5.6
금산군,쇼핑,331796,1.4,24162,7.3
금산군,숙박,331796,1.4,32986,9.9
금산군,역사관광,331796,1.4,15952,4.8
금산군,음식,331796,1.4,155460,46.9
금산군,자연관광,331796,1.4,10956,3.3
금산군,체험관광,331796,1.4,15135,4.6
논산시,기타관광,942010,4.0,158160,16.8
논산시,레저스포츠,942010,4.0,50194,5.3
논산시,문화관광,942010,4.0,95350,10.1
논산시,쇼핑,942010,4.0,31041,3.3
논산시,숙박,942010,4.0,73485,7.8
논산시,역사관광,942010,4.0,52535,5.6
논산시,음식,942010,4.0,428367,45.5
논산시,자연관광,942010,4.0,37121,3.9
논산시,체험관광,942010,4.0,15757,1.7
당진시,기타관광,1889388,8.0,159289,8.4
당진시,레저스포츠,1889388,8.0,109616,5.8
당진시,문화관광,1889388,8.0,334239,17.7
당진시,쇼핑,1889388,8.0,43659,2.3
당진시,숙박,1889388,8.0,107451,5.7
당진시,역사관광,1889388,8.0,32094,1.7
당진시,음식,1889388,8.0,824784,43.7
당진시,자연관광,1889388,8.0,275521,14.6
