기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
계룡시,기타관광,168718,0.9,22214,13.2
계룡시,레저스포츠,168718,0.9,46225,27.4
계룡시,문화관광,168718,0.9,5255,3.1
계룡시,쇼핑,168718,0.9,12720,7.5
계룡시,숙박,168718,0.9,12940,7.7
계룡시,역사관광,168718,0.9,2463,1.5
계룡시,음식,168718,0.9,63000,37.3
계룡시,자연관광,168718,0.9,3831,2.3
계룡시,체험관광,168718,0.9,70,0.0
공주시,기타관광,1356082,7.2,137849,10.2
공주시,레저스포츠,1356082,7.2,45777,3.4
공주시,문화관광,1356082,7.2,109074,8.0
공주시,쇼핑,1356082,7.2,33584,2.5
공주시,숙박,1356082,7.2,118401,8.7
공주시,역사관광,1356082,7.2,357094,26.3
공주시,음식,1356082,7.2,513774,37.9
공주시,자연관광,1356082,7.2,32918,2.4
공주시,체험관광,1356082,7.2,7611,0.6
금산군,기타관광,242381,1.3,15471,6.4
금산군,레저스포츠,242381,1.3,21124,8.7
금산군,문화관광,242381,1.3,6841,2.8
금산군,쇼핑,242381,1.3,34224,14.1
금산군,숙박,242381,1.3,29753,12.3
금산군,역사관광,242381,1.3,14909,6.2
금산군,음식,242381,1.3,85196,35.1
금산군,자연관광,242381,1.3,12542,5.2
금산군,체험관광,242381,1.3,22321,9.2
논산시,기타관광,719039,3.8,184759,25.7
논산시,레저스포츠,719039,3.8,46873,6.5
논산시,문화관광,719039,3.8,66814,9.3
논산시,쇼핑,719039,3.8,35267,4.9
논산시,숙박,719039,3.8,47629,6.6
논산시,역사관광,719039,3.8,45727,6.4
논산시,음식,719039,3.8,219847,30.6
논산시,자연관광,719039,3.8,65688,9.1
논산시,체험관광,719039,3.8,6435,0.9
당진시,기타관광,1593977,8.4,179972,11.3
당진시,레저스포츠,1593977,8.4,83301,5.2
당진시,문화관광,1593977,8.4,375721,23.6
당진시,쇼핑,1593977,8.4,45332,2.8
당진시,숙박,1593977,8.4,94803,5.9
당진시,역사관광,1593977,8.4,32766,2.1
당진시,음식,1593977,8.4,494693,31.0
당진시,자연관광,1593977,8.4,286106,17.9
당진시,체험관광,1593977,8.4,1283,0.1
보령시,기타관광,1575741,8.3,114844,7.3
보령시,레저스포츠,1575741,8.3,68879,4.4
보령시,문화관광,1575741,8.3,92618,5.9
보령시,쇼핑,1575741,8.3,69972,4.4
보령시,숙박,1575741,8.3,274483,17.4
보령시,역사관광,1575741,8.3,9737,0.6
보령시,음식,1575741,8.3,307784,19.5
보령시,자연관광,1575741,8.3,635074,40.3
보령시,체험관광,1575741,8.3,2350,0.1
부여군,기타관광,671923,3.6,32204,4.8
부여군,레저스포츠,671923,3.6,63841,9.5
부여군,문화관광,671923,3.6,87894,13.1
부여군,쇼핑,671923,3.6,113717,16.9
부여군,숙박,671923,3.6,82226,12.2
부여군,역사관광,671923,3.6,126227,18.8
부여군,음식,671923,3.6,158578,23.6
부여군,자연관광,671923,3.6,6216,0.9
부여군,체험관광,671923,3.6,1020,0.2
서산시,기타관광,1258762,6.7,128321,10.2
서산시,레저스포츠,1258762,6.7,49991,4.0
서산시,문화관광,1258762,6.7,46668,3.7
서산시,쇼핑,1258762,6.7,48654,3.9
서산시,숙박,1258762,6.7,109935,8.7
서산시,역사관광,1258762,6.7,224679,17.8
서산시,음식,1258762,6.7,383142,30.4
서산시,자연관광,1258762,6.7,265133,21.1
서산시,체험관광,1258762,6.7,2239,0.2
서천군,기타관광,526621,2.8,79877,15.2
서천군,레저스포츠,526621,2.8,9021,1.7
서천군,문화관광,526621,2.8,50924,9.7
서천군,쇼핑,526621,2.8,75100,14.3
서천군,숙박,526621,2.8,52302,9.9
서천군,역사관광,526621,2.8,19146,3.6
서천군,음식,526621,2.8,59681,11.3
서천군,자연관광,526621,2.8,178938,34.0
서천군,체험관광,526621,2.8,1632,0.3
아산시,기타관광,2486625,13.2,612757,24.6
아산시,레저스포츠,2486625,13.2,141299,5.7
아산시,문화관광,2486625,13.2,262186,10.5
아산시,쇼핑,2486625,13.2,119670,4.8
아산시,숙박,2486625,13.2,134217,5.4
아산시,역사관광,2486625,13.2,112615,4.5
아산시,음식,2486625,13.2,968801,39.0
아산시,자연관광,2486625,13.2,73746,3.0
아산시,체험관광,2486625,13.2,61334,2.5
예산군,기타관광,801336,4.2,243377,30.4
예산군,레저스포츠,801336,4.2,14234,1.8
예산군,문화관광,801336,4.2,28706,3.6
예산군,쇼핑,801336,4.2,15783,2.0
예산군,숙박,801336,4.2,113348,14.1
예산군,역사관광,801336,4.2,108962,13.6
예산군,음식,801336,4.2,223511,27.9
예산군,자연관광,801336,4.2,40691,5.1
예산군,체험관광,801336,4.2,12724,1.6
천안시 동남구,기타관광,2159418,11.4,254630,11.8
천안시 동남구,레저스포츠,2159418,11.4,139962,6.5
천안시 동남구,문화관광,2159418,11.4,280421,13.0
천안시 동남구,쇼핑,2159418,11.4,233511,10.8
천안시 동남구,숙박,2159418,11.4,139896,6.5
천안시 동남구,역사관광,2159418,11.4,65440,3.0
천안시 동남구,음식,2159418,11.4,962864,44.6
천안시 동남구,자연관광,2159418,11.4,57281,2.7
천안시 동남구,체험관광,2159418,11.4,25413,1.2
천안시 서북구,기타관광,2177745,11.5,12869,0.6
천안시 서북구,레저스포츠,2177745,11.5,48665,2.2
천안시 서북구,문화관광,2177745,11.5,104934,4.8
천안시 서북구,쇼핑,2177745,11.5,257111,11.8
천안시 서북구,숙박,2177745,11.5,231110,10.6
천안시 서북구,역사관광,2177745,11.5,3780,0.2
천안시 서북구,음식,2177745,11.5,1495691,68.7
천안시 서북구,자연관광,2177745,11.5,20881,1.0
천안시 서북구,체험관광,2177745,11.5,2704,0.1
청양군,기타관광,131557,0.7,45993,35.0
청양군,레저스포츠,131557,0.7,2850,2.2
청양군,문화관광,131557,0.7,9685,7.4
청양군,쇼핑,131557,0.7,4832,3.7
청양군,숙박,131557,0.7,13611,10.3
청양군,역사관광,131557,0.7,12926,9.8
청양군,음식,131557,0.7,26889,20.4
청양군,자연관광,131557,0.7,14022,10.7
청양군,체험관광,131557,0.7,749,0.6
태안군,기타관광,2513033,13.3,146277,5.8
태안군,레저스포츠,2513033,13.3,147664,5.9
태안군,문화관광,2513033,13.3,114365,4.6
태안군,쇼핑,2513033,13.3,74490,3.0
태안군,숙박,2513033,13.3,647101,25.7
태안군,역사관광,2513033,13.3,22815,0.9
태안군,음식,2513033,13.3,401898,16.0
태안군,자연관광,2513033,13.3,946149,37.6
태안군,체험관광,2513033,13.3,12274,0.5
홍성군,기타관광,517636,2.7,88461,17.1
홍성군,레저스포츠,517636,2.7,2061,0.4
홍성군,문화관광,517636,2.7,38076,7.4
홍성군,쇼핑,517636,2.7,26140,5.0
홍성군,숙박,517636,2.7,30826,6.0
홍성군,역사관광,517636,2.7,15176,2.9
홍성군,음식,517636,2.7,188454,36.4
홍성군,자연관광,517636,2.7,126752,24.5
홍성군,체험관광,517636,2.7,1690,0.3
