기준년월,광역지자체,카테고리중분류명,광역지자체 검색건수,광역지자체 전년도 검색건수
202001,충청남도,전체,1029053,665016
202002,충청남도,전체,722350,688040
202003,충청남도,전체,871679,911750
202004,충청남도,전체,1270485,1026557
202005,충청남도,전체,1623217,1285222
202006,충청남도,전체,1417735,1243234
202008,충청남도,전체,1608749,1661092
202009,충청남도,전체,1437647,1203807
202010,충청남도,전체,1859905,1546366
202011,충청남도,전체,1197744,1292078
202007,충청남도,전체,1491166,1215906
202012,충청남도,전체,950576,1112013
202001,충청남도,기타관광,178771,107158
202001,충청남도,문화관광,97372,78629
202001,충청남도,쇼핑,77008,54875
202001,충청남도,숙박,90865,48845
202001,충청남도,음식,362917,229378
202001,충청남도,자연관광,106849,68249
202001,충청남도,역사관광,60803,39562
202001,충청남도,체험관광,24148,19049
202001,충청남도,레저스포츠,30320,19271
202002,충청남도,기타관광,115904,118708
202002,충청남도,문화관광,57994,87276
202002,충청남도,쇼핑,52435,56633
202002,충청남도,숙박,61592,48197
202002,충청남도,음식,268926,217995
202002,충청남도,자연관광,86415,73458
202002,충청남도,역사관광,41360,43651
202002,충청남도,체험관광,9023,19943
202002,충청남도,레저스포츠,28701,22179
202003,충청남도,기타관광,114627,135603
202003,충청남도,문화관광,80669,111248
202003,충청남도,쇼핑,56512,73594
202003,충청남도,숙박,60600,62089
202003,충청남도,음식,266611,284992
202003,충청남도,자연관광,171884,119351
202003,충청남도,역사관광,69711,62611
202003,충청남도,체험관광,8518,20207
202003,충청남도,레저스포츠,42547,42055
202004,충청남도,기타관광,153696,164299
202004,충청남도,문화관광,107505,116676
202004,충청남도,쇼핑,80934,65301
202004,충청남도,숙박,114508,75789
202004,충청남도,음식,387311,281939
202004,충청남도,자연관광,237036,144982
202004,충청남도,역사관광,114727,106423
202004,충청남도,체험관광,12142,20731
202004,충청남도,레저스포츠,62626,50417
202005,충청남도,기타관광,197753,198466
202005,충청남도,문화관광,138677,145118
202005,충청남도,쇼핑,104289,77658
202005,충청남도,숙박,167863,127540
202005,충청남도,음식,523351,349183
202005,충청남도,자연관광,285853,194817
202005,충청남도,역사관광,110360,103594
202005,충청남도,체험관광,17188,23191
202005,충청남도,레저스포츠,77883,65655
202006,충청남도,기타관광,172475,180090
202006,충청남도,문화관광,112053,138566
202006,충청남도,쇼핑,81116,71122
202006,충청남도,숙박,162615,138660
202006,충청남도,음식,482434,356708
202006,충청남도,자연관광,238846,190111
202006,충청남도,역사관광,75011,76510
202006,충청남도,체험관광,14331,25127
202006,충청남도,레저스포츠,78854,66340
202008,충청남도,기타관광,179933,206522
202008,충청남도,문화관광,131212,184283
202008,충청남도,쇼핑,82576,83197
202008,충청남도,숙박,233337,219686
202008,충청남도,음식,530499,483278
202008,충청남도,자연관광,275809,293304
202008,충청남도,역사관광,81476,86244
202008,충청남도,체험관광,20043,36006
202008,충청남도,레저스포츠,73864,68572
202009,충청남도,기타관광,176000,193364
202009,충청남도,문화관광,114322,124155
202009,충청남도,쇼핑,89199,83594
202009,충청남도,숙박,161866,118637
202009,충청남도,음식,419365,348882
202009,충청남도,자연관광,299221,187733
202009,충청남도,역사관광,81308,69197
202009,충청남도,체험관광,12273,18868
202009,충청남도,레저스포츠,84093,59377
202010,충청남도,기타관광,230825,224827
202010,충청남도,문화관광,180863,172742
202010,충청남도,쇼핑,120348,98767
202010,충청남도,숙박,214975,162563
202010,충청남도,음식,534865,437380
202010,충청남도,자연관광,330162,233626
202010,충청남도,역사관광,131731,112390
202010,충청남도,체험관광,18764,22501
202010,충청남도,레저스포츠,97372,81570
202011,충청남도,기타관광,178480,209743
202011,충청남도,문화관광,106783,132735
202011,충청남도,쇼핑,87322,91906
202011,충청남도,숙박,134795,133921
202011,충청남도,음식,375462,404280
202011,충청남도,자연관광,152211,141213
202011,충청남도,역사관광,87571,90247
202011,충청남도,체험관광,9872,20414
202011,충청남도,레저스포츠,65248,67619
202007,충청남도,기타관광,175154,162237
202007,충청남도,문화관광,127069,135160
202007,충청남도,쇼핑,79465,65879
202007,충청남도,숙박,175694,148596
202007,충청남도,음식,527306,373389
202007,충청남도,자연관광,236122,173800
202007,충청남도,역사관광,79852,72340
202007,충청남도,체험관광,15948,24462
202007,충청남도,레저스포츠,74556,60043
202012,충청남도,기타관광,135437,173199
202012,충청남도,문화관광,75020,102069
202012,충청남도,쇼핑,76357,83033
202012,충청남도,숙박,105661,111828
202012,충청남도,음식,322585,432073
202012,충청남도,자연관광,135235,97304
202012,충청남도,역사관광,54491,53811
202012,충청남도,체험관광,6875,23085
202012,충청남도,레저스포츠,38915,35611
