카테고리중분류명,카테고리소분류명,유형별 검색건수,유형별 검색건수 비율
자연관광,자연생태,76,0.0
자연관광,자연공원,153699,1.1
자연관광,자연경관(하천/해양),1683725,12.2
자연관광,자연경관(산),80464,0.6
역사관광,종교성지,459014,3.3
역사관광,역사유적지,449492,3.2
역사관광,역사유물,8077,0.1
체험관광,공예체험,117,0.0
체험관광,농/산/어촌체험,98802,0.7
체험관광,웰니스관광,174671,1.3
문화관광,공연시설,216487,1.6
문화관광,테마공원,264674,1.9
문화관광,전시시설,380311,2.7
문화관광,복합관광시설,214521,1.5
문화관광,레저스포츠시설,53801,0.4
문화관광,랜드마크관광,35326,0.3
문화관광,도시공원,290699,2.1
문화관광,기타문화관광지,70400,0.5
문화관광,도시/지역문화관광,2464,0.0
레저스포츠,육상레저스포츠,502005,3.6
레저스포츠,기타레저스포츠,52395,0.4
레저스포츠,항공레저스포츠,150,0.0
레저스포츠,수상레저스포츠,85054,0.6
쇼핑,시장,377416,2.7
쇼핑,대형마트,16529,0.1
쇼핑,기타쇼핑시설,477,0.0
쇼핑,쇼핑몰,276190,2.0
쇼핑,백화점,234947,1.7
음식,외국식,350430,2.5
음식,음식점기타,115836,0.8
음식,전문음식,805096,5.8
음식,한식,1785393,12.9
음식,카페/찻집,651145,4.7
음식,간이음식,491577,3.5
숙박,호스텔,11416,0.1
숙박,호텔,221180,1.6
숙박,펜션/민박,433703,3.1
숙박,콘도미니엄,283196,2.0
숙박,캠핑,157653,1.1
숙박,기타숙박,7718,0.1
숙박,모텔,281556,2.0
기타관광,교통시설,1661027,12.0
기타관광,기타관광,411116,3.0
기타관광,데이트코스,2073,0.0
