카테고리중분류명,카테고리소분류명,유형별 검색건수,유형별 검색건수 비율
자연관광,자연생태,111392,0.8
자연관광,자연공원,167113,1.2
자연관광,자연경관(하천/해양),195910,1.4
자연관광,자연경관(산),165502,1.2
역사관광,종교성지,200708,1.4
역사관광,역사유적지,205667,1.5
역사관광,역사유물,1150,0.0
체험관광,공예체험,953,0.0
체험관광,농/산/어촌체험,41958,0.3
체험관광,웰니스관광,66233,0.5
문화관광,공연시설,178578,1.3
문화관광,테마공원,165628,1.2
문화관광,전시시설,108837,0.8
문화관광,복합관광시설,69355,0.5
문화관광,레저스포츠시설,49396,0.3
문화관광,랜드마크관광,240961,1.7
문화관광,기타문화관광지,41350,0.3
문화관광,도시공원,356228,2.5
문화관광,도시/지역문화관광,1462,0.0
레저스포츠,항공레저스포츠,13771,0.1
레저스포츠,기타레저스포츠,118799,0.8
레저스포츠,수상레저스포츠,80216,0.6
레저스포츠,육상레저스포츠,1504476,10.6
쇼핑,면세점,6,0.0
쇼핑,기타쇼핑시설,5403,0.0
쇼핑,시장,400999,2.8
쇼핑,쇼핑몰,177413,1.3
쇼핑,백화점,197349,1.4
음식,외국식,383901,2.7
음식,음식점기타,13995,0.1
음식,전문음식,661405,4.7
음식,한식,2326957,16.4
음식,카페/찻집,1244717,8.8
음식,간이음식,585240,4.1
숙박,호텔,359958,2.5
숙박,호스텔,13861,0.1
숙박,모텔,497173,3.5
숙박,펜션/민박,248545,1.8
숙박,콘도미니엄,289279,2.0
숙박,캠핑,252633,1.8
숙박,기타숙박,3550,0.0
기타관광,교통시설,1859532,13.1
기타관광,기타관광,542533,3.8
기타관광,데이트코스,1371,0.0
