기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
괴산군,기타관광,297682,3.2,75261,25.3
괴산군,레저스포츠,297682,3.2,4549,1.5
괴산군,문화관광,297682,3.2,8044,2.7
괴산군,쇼핑,297682,3.2,8156,2.7
괴산군,숙박,297682,3.2,74409,25.0
괴산군,역사관광,297682,3.2,10226,3.4
괴산군,음식,297682,3.2,41439,13.9
괴산군,자연관광,297682,3.2,72866,24.5
괴산군,체험관광,297682,3.2,2732,0.9
단양군,기타관광,797270,8.6,162078,20.3
단양군,레저스포츠,797270,8.6,41854,5.2
단양군,문화관광,797270,8.6,125426,15.7
단양군,쇼핑,797270,8.6,72958,9.2
단양군,숙박,797270,8.6,135407,17.0
단양군,역사관광,797270,8.6,21684,2.7
단양군,음식,797270,8.6,182064,22.8
단양군,자연관광,797270,8.6,55739,7.0
단양군,체험관광,797270,8.6,60,0.0
보은군,기타관광,260356,2.8,21823,8.4
보은군,레저스포츠,260356,2.8,48705,18.7
보은군,문화관광,260356,2.8,22007,8.5
보은군,쇼핑,260356,2.8,3098,1.2
보은군,숙박,260356,2.8,28995,11.1
보은군,역사관광,260356,2.8,56575,21.7
보은군,음식,260356,2.8,44164,17.0
보은군,자연관광,260356,2.8,34844,13.4
보은군,체험관광,260356,2.8,145,0.1
영동군,기타관광,131778,1.4,36746,27.9
영동군,레저스포츠,131778,1.4,6550,5.0
영동군,문화관광,131778,1.4,7108,5.4
영동군,쇼핑,131778,1.4,2797,2.1
영동군,숙박,131778,1.4,11630,8.8
영동군,역사관광,131778,1.4,12554,9.5
영동군,음식,131778,1.4,25215,19.1
영동군,자연관광,131778,1.4,28833,21.9
영동군,체험관광,131778,1.4,345,0.3
옥천군,기타관광,218699,2.4,34269,15.7
옥천군,레저스포츠,218699,2.4,7472,3.4
옥천군,문화관광,218699,2.4,27888,12.8
옥천군,쇼핑,218699,2.4,1016,0.5
옥천군,숙박,218699,2.4,19747,9.0
옥천군,역사관광,218699,2.4,14637,6.7
옥천군,음식,218699,2.4,91394,41.8
옥천군,자연관광,218699,2.4,16418,7.5
옥천군,체험관광,218699,2.4,5858,2.7
음성군,기타관광,512393,5.6,67929,13.3
음성군,레저스포츠,512393,5.6,207102,40.4
음성군,문화관광,512393,5.6,22871,4.5
음성군,쇼핑,512393,5.6,18131,3.5
음성군,숙박,512393,5.6,30925,6.0
음성군,역사관광,512393,5.6,10620,2.1
음성군,음식,512393,5.6,132304,25.8
음성군,자연관광,512393,5.6,21968,4.3
음성군,체험관광,512393,5.6,543,0.1
제천시,기타관광,851833,9.2,171366,20.1
제천시,레저스포츠,851833,9.2,77450,9.1
제천시,문화관광,851833,9.2,34090,4.0
제천시,쇼핑,851833,9.2,29759,3.5
제천시,숙박,851833,9.2,181227,21.3
제천시,역사관광,851833,9.2,36333,4.3
제천시,음식,851833,9.2,244380,28.7
제천시,자연관광,851833,9.2,72663,8.5
제천시,체험관광,851833,9.2,4565,0.5
증평군,기타관광,214085,2.3,29736,13.9
증평군,레저스포츠,214085,2.3,48221,22.5
증평군,문화관광,214085,2.3,9633,4.5
증평군,쇼핑,214085,2.3,2174,1.0
증평군,숙박,214085,2.3,14864,6.9
증평군,역사관광,214085,2.3,904,0.4
증평군,음식,214085,2.3,82267,38.4
증평군,자연관광,214085,2.3,21405,10.0
증평군,체험관광,214085,2.3,4881,2.3
진천군,기타관광,586514,6.4,66509,11.3
진천군,레저스포츠,586514,6.4,201866,34.4
진천군,문화관광,586514,6.4,23620,4.0
진천군,쇼핑,586514,6.4,14621,2.5
진천군,숙박,586514,6.4,32727,5.6
진천군,역사관광,586514,6.4,64820,11.1
진천군,음식,586514,6.4,144572,24.6
진천군,자연관광,586514,6.4,35959,6.1
진천군,체험관광,586514,6.4,1820,0.3
청주시 상당구,기타관광,808658,8.8,46494,5.7
청주시 상당구,레저스포츠,808658,8.8,56002,6.9
청주시 상당구,문화관광,808658,8.8,165239,20.4
청주시 상당구,쇼핑,808658,8.8,40643,5.0
