扁霖斥岿,堡开瘤磊眉,墨抛绊府吝盒幅疙,堡开瘤磊眉 八祸扒荐,堡开瘤磊眉 傈斥档 八祸扒荐
201802,面没合档,傈眉,286479,0
201806,面没合档,傈眉,495078,0
201812,面没合档,傈眉,410112,0
201803,面没合档,傈眉,374256,0
201805,面没合档,傈眉,540562,0
201809,面没合档,傈眉,512042,0
201811,面没合档,傈眉,481737,0
201801,面没合档,傈眉,266732,0
201804,面没合档,傈眉,446374,0
201810,面没合档,傈眉,565914,0
201807,面没合档,傈眉,514778,0
201808,面没合档,傈眉,593085,0
201802,面没合档,扁鸥包堡,102000,0
201802,面没合档,巩拳包堡,26094,0
201802,面没合档,碱俏,24634,0
201802,面没合档,槛冠,21526,0
201802,面没合档,澜侥,73621,0
201802,面没合档,开荤包堡,8272,0
201802,面没合档,磊楷包堡,10982,0
201802,面没合档,眉氰包堡,4966,0
201802,面没合档,饭历胶器明,14384,0
201806,面没合档,扁鸥包堡,109555,0
201806,面没合档,巩拳包堡,54987,0
201806,面没合档,碱俏,31104,0
201806,面没合档,槛冠,46552,0
201806,面没合档,澜侥,122584,0
201806,面没合档,开荤包堡,16277,0
201806,面没合档,磊楷包堡,34832,0
201806,面没合档,眉氰包堡,4323,0
201806,面没合档,饭历胶器明,74864,0
201812,面没合档,扁鸥包堡,105615,0
201812,面没合档,巩拳包堡,41184,0
201812,面没合档,碱俏,36065,0
201812,面没合档,槛冠,35483,0
201812,面没合档,澜侥,140501,0
201812,面没合档,开荤包堡,9618,0
201812,面没合档,磊楷包堡,13072,0
201812,面没合档,眉氰包堡,6164,0
201812,面没合档,饭历胶器明,22410,0
201803,面没合档,扁鸥包堡,107513,0
201803,面没合档,巩拳包堡,40168,0
201803,面没合档,碱俏,27668,0
201803,面没合档,槛冠,24470,0
201803,面没合档,澜侥,94839,0
201803,面没合档,开荤包堡,11507,0
201803,面没合档,磊楷包堡,16005,0
201803,面没合档,眉氰包堡,4755,0
201803,面没合档,饭历胶器明,47331,0
201805,面没合档,扁鸥包堡,122017,0
201805,面没合档,巩拳包堡,65138,0
201805,面没合档,碱俏,33289,0
201805,面没合档,槛冠,51502,0
201805,面没合档,澜侥,132161,0
201805,面没合档,开荤包堡,23892,0
201805,面没合档,磊楷包堡,32136,0
201805,面没合档,眉氰包堡,5176,0
201805,面没合档,饭历胶器明,75251,0
201809,面没合档,扁鸥包堡,121541,0
201809,面没合档,巩拳包堡,58165,0
201809,面没合档,碱俏,37074,0
201809,面没合档,槛冠,41209,0
201809,面没合档,澜侥,126611,0
201809,面没合档,开荤包堡,19619,0
201809,面没合档,磊楷包堡,31821,0
201809,面没合档,眉氰包堡,5035,0
201809,面没合档,饭历胶器明,70967,0
201811,面没合档,扁鸥包堡,123295,0
201811,面没合档,巩拳包堡,46634,0
201811,面没合档,碱俏,35558,0
201811,面没合档,槛冠,40162,0
201811,面没合档,澜侥,125132,0
201811,面没合档,开荤包堡,16107,0
201811,面没合档,磊楷包堡,23634,0
201811,面没合档,眉氰包堡,5231,0
201811,面没合档,饭历胶器明,65984,0
201801,面没合档,扁鸥包堡,81915,0
201801,面没合档,巩拳包堡,27050,0
201801,面没合档,碱俏,23338,0
201801,面没合档,槛冠,23352,0
201801,面没合档,澜侥,76975,0
201801,面没合档,开荤包堡,7703,0
201801,面没合档,磊楷包堡,11445,0
201801,面没合档,眉氰包堡,5136,0
201801,面没合档,饭历胶器明,9818,0
201804,面没合档,扁鸥包堡,108840,0
201804,面没合档,巩拳包堡,54991,0
201804,面没合档,碱俏,28492,0
201804,面没合档,槛冠,34488,0
201804,面没合档,澜侥,110556,0
201804,面没合档,开荤包堡,16018,0
201804,面没合档,磊楷包堡,23925,0
201804,面没合档,眉氰包堡,5078,0
201804,面没合档,饭历胶器明,63986,0
201810,面没合档,扁鸥包堡,134488,0
201810,面没合档,碱俏,38043,0
201810,面没合档,槛冠,46910,0
201810,面没合档,澜侥,134720,0
201810,面没合档,巩拳包堡,64224,0
201810,面没合档,开荤包堡,24079,0
201810,面没合档,磊楷包堡,39016,0
201810,面没合档,眉氰包堡,5540,0
201810,面没合档,饭历胶器明,78894,0
201807,面没合档,扁鸥包堡,106656,0
201807,面没合档,巩拳包堡,51550,0
201807,面没合档,碱俏,31764,0
201807,面没合档,槛冠,58967,0
201807,面没合档,澜侥,138616,0
201807,面没合档,开荤包堡,12788,0
201807,面没合档,磊楷包堡,48032,0
201807,面没合档,眉氰包堡,4634,0
201807,面没合档,饭历胶器明,61771,0
201808,面没合档,扁鸥包堡,118249,0
201808,面没合档,巩拳包堡,72659,0
201808,面没合档,碱俏,36205,0
201808,面没合档,槛冠,71633,0
201808,面没合档,澜侥,155245,0
201808,面没合档,开荤包堡,15714,0
201808,面没合档,磊楷包堡,59495,0
201808,面没合档,眉氰包堡,5720,0
201808,面没合档,饭历胶器明,58165,0
