기준년월,광역지자체,카테고리중분류명,광역지자체 검색건수,광역지자체 전년도 검색건수
202104,충청남도,전체,1603018,1270485
202106,충청남도,전체,1609015,1417730
202107,충청남도,전체,1707506,1491166
202112,충청남도,전체,1333037,950576
202103,충청남도,전체,1287932,871679
202108,충청남도,전체,1901124,1608749
202105,충청남도,전체,1778153,1623210
202109,충청남도,전체,1772372,1437629
202110,충청남도,전체,2159472,1859874
202111,충청남도,전체,1658154,1197732
202101,충청남도,전체,872368,1029050
202102,충청남도,전체,1218443,722347
202104,충청남도,기타관광,194407,153696
202104,충청남도,문화관광,146155,107505
202104,충청남도,쇼핑,96507,80934
202104,충청남도,숙박,158520,114508
202104,충청남도,음식,533477,387311
202104,충청남도,자연관광,224138,237036
202104,충청남도,역사관광,153349,114727
202104,충청남도,체험관광,11939,12142
202104,충청남도,레저스포츠,84526,62626
202106,충청남도,기타관광,189991,172475
202106,충청남도,문화관광,146666,112053
202106,충청남도,쇼핑,90675,81116
202106,충청남도,숙박,182276,162615
202106,충청남도,음식,564648,482434
202106,충청남도,자연관광,239492,238846
202106,충청남도,역사관광,84675,75011
202106,충청남도,체험관광,16390,14331
202106,충청남도,레저스포츠,94202,78849
202107,충청남도,기타관광,181442,175154
202107,충청남도,문화관광,136982,127069
202107,충청남도,쇼핑,90476,79465
202107,충청남도,숙박,217960,175694
202107,충청남도,음식,627387,527306
202107,충청남도,자연관광,260020,236122
202107,충청남도,역사관광,84959,79852
202107,충청남도,체험관광,16591,15948
202107,충청남도,레저스포츠,91689,74556
202112,충청남도,기타관광,171052,135437
202112,충청남도,문화관광,104392,75020
202112,충청남도,쇼핑,100195,76357
202112,충청남도,숙박,165296,105661
202112,충청남도,음식,507005,322585
202112,충청남도,자연관광,166175,135235
202112,충청남도,역사관광,60279,54491
202112,충청남도,체험관광,9787,6875
202112,충청남도,레저스포츠,48856,38915
202103,충청남도,기타관광,168959,114627
202103,충청남도,문화관광,112356,80669
202103,충청남도,쇼핑,92784,56512
202103,충청남도,숙박,116833,60600
202103,충청남도,음식,461980,266611
202103,충청남도,자연관광,168525,171884
202103,충청남도,역사관광,87817,69711
202103,충청남도,체험관광,10168,8518
202103,충청남도,레저스포츠,68510,42547
202108,충청남도,기타관광,199919,179933
202108,충청남도,문화관광,163399,131212
202108,충청남도,쇼핑,98270,82576
202108,충청남도,숙박,242308,233337
202108,충청남도,음식,655562,530499
202108,충청남도,자연관광,331514,275809
202108,충청남도,역사관광,103206,81476
202108,충청남도,체험관광,17411,20043
202108,충청남도,레저스포츠,89535,73864
202105,충청남도,기타관광,216786,197753
202105,충청남도,문화관광,172950,138677
202105,충청남도,쇼핑,108262,104289
202105,충청남도,숙박,191189,167863
202105,충청남도,음식,604939,523351
202105,충청남도,자연관광,258896,285853
202105,충청남도,역사관광,118761,110360
202105,충청남도,체험관광,13983,17188
202105,충청남도,레저스포츠,92387,77876
202109,충청남도,기타관광,215918,176000
202109,충청남도,문화관광,158206,114322
202109,충청남도,쇼핑,113612,89199
202109,충청남도,숙박,193977,161851
202109,충청남도,음식,574943,419365
202109,충청남도,자연관광,305085,299221
202109,충청남도,역사관광,95813,81308
202109,충청남도,체험관광,15858,12273
202109,충청남도,레저스포츠,98960,84090
202110,충청남도,기타관광,250092,230825
202110,충청남도,문화관광,205460,180863
202110,충청남도,쇼핑,139902,120348
202110,충청남도,숙박,260029,214975
202110,충청남도,음식,702762,534865
202110,충청남도,자연관광,333770,330158
202110,충청남도,역사관광,137839,131731
202110,충청남도,체험관광,18458,18764
202110,충청남도,레저스포츠,111160,97345
202111,충청남도,기타관광,223541,178480
202111,충청남도,문화관광,150562,106783
202111,충청남도,쇼핑,109640,87322
202111,충청남도,숙박,195253,134795
202111,충청남도,음식,601368,375462
202111,충청남도,자연관광,175039,152199
202111,충청남도,역사관광,107458,87571
202111,충청남도,체험관광,13529,9872
202111,충청남도,레저스포츠,81764,65248
202101,충청남도,기타관광,125204,178771
202101,충청남도,문화관광,71612,97372
202101,충청남도,쇼핑,71449,77008
202101,충청남도,숙박,84682,90865
202101,충청남도,음식,308267,362917
202101,충청남도,자연관광,125189,106849
202101,충청남도,역사관광,54839,60803
202101,충청남도,체험관광,7326,24148
202101,충청남도,레저스포츠,23800,30317
202102,충청남도,기타관광,162564,115904
202102,충청남도,문화관광,111442,57991
202102,충청남도,쇼핑,88335,52435
202102,충청남도,숙박,124258,61592
202102,충청남도,음식,411465,268926
202102,충청남도,자연관광,178125,86415
202102,충청남도,역사관광,85467,41360
202102,충청남도,체험관광,10409,9023
202102,충청남도,레저스포츠,46378,28701
