기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
계룡시,기타관광,311457,1.1,30809,9.9
계룡시,레저스포츠,311457,1.1,66695,21.4
계룡시,문화관광,311457,1.1,16622,5.3
계룡시,쇼핑,311457,1.1,25200,8.1
계룡시,숙박,311457,1.1,22750,7.3
계룡시,역사관광,311457,1.1,4150,1.3
계룡시,음식,311457,1.1,140897,45.2
계룡시,자연관광,311457,1.1,4189,1.3
계룡시,체험관광,311457,1.1,145,0.0
공주시,기타관광,1792417,6.6,152269,8.5
공주시,레저스포츠,1792417,6.6,47719,2.7
공주시,문화관광,1792417,6.6,156896,8.8
공주시,쇼핑,1792417,6.6,40022,2.2
공주시,숙박,1792417,6.6,169320,9.4
공주시,역사관광,1792417,6.6,377234,21.0
공주시,음식,1792417,6.6,805181,44.9
공주시,자연관광,1792417,6.6,27039,1.5
공주시,체험관광,1792417,6.6,16737,0.9
금산군,기타관광,373568,1.4,31480,8.4
금산군,레저스포츠,373568,1.4,35686,9.6
금산군,문화관광,373568,1.4,19706,5.3
금산군,쇼핑,373568,1.4,28884,7.7
금산군,숙박,373568,1.4,37636,10.1
금산군,역사관광,373568,1.4,18327,4.9
금산군,음식,373568,1.4,172144,46.1
금산군,자연관광,373568,1.4,11866,3.2
금산군,체험관광,373568,1.4,17839,4.8
논산시,기타관광,1068003,3.9,185798,17.4
논산시,레저스포츠,1068003,3.9,57392,5.4
논산시,문화관광,1068003,3.9,107741,10.1
논산시,쇼핑,1068003,3.9,37775,3.5
논산시,숙박,1068003,3.9,84316,7.9
논산시,역사관광,1068003,3.9,58498,5.5
논산시,음식,1068003,3.9,473825,44.4
논산시,자연관광,1068003,3.9,44571,4.2
논산시,체험관광,1068003,3.9,18087,1.7
당진시,기타관광,2147973,7.9,187207,8.7
당진시,레저스포츠,2147973,7.9,125523,5.8
당진시,문화관광,2147973,7.9,379069,17.6
당진시,쇼핑,2147973,7.9,51593,2.4
당진시,숙박,2147973,7.9,129446,6.0
당진시,역사관광,2147973,7.9,36193,1.7
당진시,음식,2147973,7.9,928128,43.2
당진시,자연관광,2147973,7.9,307677,14.3
당진시,체험관광,2147973,7.9,3137,0.1
보령시,기타관광,2012942,7.4,131857,6.6
보령시,레저스포츠,2012942,7.4,87673,4.4
보령시,문화관광,2012942,7.4,139270,6.9
보령시,쇼핑,2012942,7.4,80754,4.0
보령시,숙박,2012942,7.4,367667,18.3
보령시,역사관광,2012942,7.4,10332,0.5
보령시,음식,2012942,7.4,601408,29.9
보령시,자연관광,2012942,7.4,590206,29.3
보령시,체험관광,2012942,7.4,3775,0.2
부여군,기타관광,811684,3.0,34393,4.2
부여군,레저스포츠,811684,3.0,67009,8.3
부여군,문화관광,811684,3.0,109850,13.5
부여군,쇼핑,811684,3.0,114573,14.1
부여군,숙박,811684,3.0,110099,13.6
부여군,역사관광,811684,3.0,120361,14.8
부여군,음식,811684,3.0,244179,30.1
부여군,자연관광,811684,3.0,8860,1.1
부여군,체험관광,811684,3.0,2360,0.3
서산시,기타관광,1711225,6.3,136821,8.0
서산시,레저스포츠,1711225,6.3,53045,3.1
서산시,문화관광,1711225,6.3,83558,4.9
서산시,쇼핑,1711225,6.3,42656,2.5
서산시,숙박,1711225,6.3,160118,9.4
서산시,역사관광,1711225,6.3,238868,14.0
서산시,음식,1711225,6.3,764606,44.7
서산시,자연관광,1711225,6.3,228202,13.3
서산시,체험관광,1711225,6.3,3351,0.2
서천군,기타관광,764879,2.8,113640,14.9
서천군,레저스포츠,764879,2.8,14170,1.9
서천군,문화관광,764879,2.8,88276,11.5
서천군,쇼핑,764879,2.8,86629,11.3
서천군,숙박,764879,2.8,66203,8.7
서천군,역사관광,764879,2.8,21708,2.8
서천군,음식,764879,2.8,162351,21.2
서천군,자연관광,764879,2.8,210614,27.5
서천군,체험관광,764879,2.8,1288,0.2
아산시,기타관광,4146338,15.3,780753,18.8
아산시,레저스포츠,4146338,15.3,144260,3.5
아산시,문화관광,4146338,15.3,336608,8.1
아산시,쇼핑,4146338,15.3,140477,3.4
아산시,숙박,4146338,15.3,240887,5.8
아산시,역사관광,4146338,15.3,132521,3.2
아산시,음식,4146338,15.3,2091218,50.4
아산시,자연관광,4146338,15.3,88625,2.1
아산시,체험관광,4146338,15.3,190989,4.6
예산군,기타관광,1381337,5.1,225996,16.4
예산군,레저스포츠,1381337,5.1,33404,2.4
예산군,문화관광,1381337,5.1,49127,3.6
예산군,쇼핑,1381337,5.1,181429,13.1
예산군,숙박,1381337,5.1,234785,17.0
예산군,역사관광,1381337,5.1,133209,9.6
예산군,음식,1381337,5.1,450629,32.6
예산군,자연관광,1381337,5.1,43555,3.2
예산군,체험관광,1381337,5.1,29203,2.1
천안시 동남구,기타관광,3339543,12.3,287044,8.6
천안시 동남구,레저스포츠,3339543,12.3,167140,5.0
천안시 동남구,문화관광,3339543,12.3,424608,12.7
천안시 동남구,쇼핑,3339543,12.3,326028,9.8
천안시 동남구,숙박,3339543,12.3,244866,7.3
천안시 동남구,역사관광,3339543,12.3,72794,2.2
천안시 동남구,음식,3339543,12.3,1760779,52.7
천안시 동남구,자연관광,3339543,12.3,38660,1.2
천안시 동남구,체험관광,3339543,12.3,17624,0.5
천안시 서북구,기타관광,3436592,12.7,23044,0.7
천안시 서북구,레저스포츠,3436592,12.7,69783,2.0
천안시 서북구,문화관광,3436592,12.7,265667,7.7
천안시 서북구,쇼핑,3436592,12.7,300793,8.8
천안시 서북구,숙박,3436592,12.7,313866,9.1
천안시 서북구,역사관광,3436592,12.7,4332,0.1
천안시 서북구,음식,3436592,12.7,2441536,71.0
천안시 서북구,자연관광,3436592,12.7,13138,0.4
천안시 서북구,체험관광,3436592,12.7,4433,0.1
청양군,기타관광,209084,0.8,42469,20.3
청양군,레저스포츠,209084,0.8,7547,3.6
청양군,문화관광,209084,0.8,23837,11.4
청양군,쇼핑,209084,0.8,6265,3.0
청양군,숙박,209084,0.8,21802,10.4
청양군,역사관광,209084,0.8,15065,7.2
청양군,음식,209084,0.8,73741,35.3
청양군,자연관광,209084,0.8,17409,8.3
청양군,체험관광,209084,0.8,949,0.5
태안군,기타관광,2822688,10.4,133172,4.7
태안군,레저스포츠,2822688,10.4,184135,6.5
태안군,문화관광,2822688,10.4,171675,6.1
태안군,쇼핑,2822688,10.4,108113,3.8
태안군,숙박,2822688,10.4,692064,24.5
태안군,역사관광,2822688,10.4,25574,0.9
태안군,음식,2822688,10.4,684905,24.3
태안군,자연관광,2822688,10.4,814162,28.8
태안군,체험관광,2822688,10.4,8888,0.3
홍성군,기타관광,760670,2.8,97895,12.9
홍성군,레저스포츠,760670,2.8,2457,0.3
홍성군,문화관광,760670,2.8,97137,12.8
홍성군,쇼핑,760670,2.8,26693,3.5
홍성군,숙박,760670,2.8,45644,6.0
홍성군,역사관광,760670,2.8,18146,2.4
홍성군,음식,760670,2.8,357978,47.1
홍성군,자연관광,760670,2.8,113092,14.9
홍성군,체험관광,760670,2.8,1628,0.2
