축제명,도,시군구,읍면동,개최년도,시작월,종료월,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
강경젓갈축제,충청남도,논산시,강경읍,2018,10,10,5,50642,59291,108,110041,22008.2,,,,110041,46.02,53.88,0.1,0
강경젓갈축제,충청남도,논산시,강경읍,2022,10,10,5,57971,69910,19,127900,25580,22008.2,16.2,110041,17859,45.33,54.66,0.01,16.23
강경젓갈축제,충청남도,논산시,강경읍,2023,10,10,4,52282,71999,18,124299,31074.75,25580,21.5,127900,-3601,42.06,57.92,0.01,-2.82
괴산고추축제,충청북도,괴산군,괴산읍,2018,8,9,4,38254,53578,75,91907,22976.75,,,,91907,41.62,58.3,0.08,0
괴산고추축제,충청북도,괴산군,괴산읍,2019,8,9,4,39975,70971,152,111098,27774.5,22976.75,20.9,91907,19191,35.98,63.88,0.14,20.88
괴산고추축제,충청북도,괴산군,괴산읍,2022,9,9,4,50340,61335,9,111684,27921,27774.5,0.5,111098,586,45.07,54.92,0.01,0.53
괴산고추축제,충청북도,괴산군,괴산읍,2023,8,9,4,52928,79873,58,132859,33214.75,27921,19,111684,21175,39.84,60.12,0.04,18.96
금산인삼축제,충청남도,금산군,금산읍,2018,10,10,10,215278,224894,443,440615,44061.5,,,,440615,48.86,51.04,0.1,0
금산인삼축제,충청남도,금산군,금산읍,2019,9,10,10,232728,225600,2305,460633,46063.3,44061.5,4.5,440615,20018,50.52,48.98,0.5,4.54
금산인삼축제,충청남도,금산군,금산읍,2022,9,10,11,300315,267140,56,567511,51591.9091,46063.3,12,460633,106878,52.92,47.07,0.01,23.2
금산인삼축제,충청남도,금산군,금산읍,2023,10,10,10,297531,253536,432,551499,55149.9,51591.9091,6.9,567511,-16012,53.95,45.97,0.08,-2.82
보령머드축제,충청남도,보령시,대천5동,2018,7,7,10,122151,338694,1467,462312,46231.2,,,,462312,26.42,73.26,0.32,0
보령머드축제,충청남도,보령시,대천6동,2019,7,7,10,117284,325715,1811,444810,44481,46231.2,-3.8,462312,-17502,26.37,73.23,0.41,-3.79
보령머드축제,충청남도,보령시,대천7동,2022,7,8,31,449549,1213604,456,1663609,53664.8065,44481,20.6,444810,1218799,27.02,72.95,0.03,274
보령머드축제,충청남도,보령시,대천8동,2023,7,8,17,225506,614824,1660,841990,49528.8235,53664.8065,-7.7,1663609,-821619,26.78,73.02,0.2,-49.39
서산해미읍성축제,충청남도,서산시,해미면,2018,10,10,3,42045,44467,69,86581,28860.3333,,,,86581,48.56,51.36,0.08,0
서산해미읍성축제,충청남도,서산시,해미면,2019,10,10,3,41976,56389,45,98410,32803.3333,28860.3333,13.7,86581,11829,42.65,57.3,0.05,13.66
서산해미읍성축제,충청남도,서산시,해미면,2022,10,10,3,41519,44649,20,86188,28729.3333,32803.3333,-12.4,98410,-12222,48.17,51.8,0.02,-12.42
서산해미읍성축제,충청남도,서산시,해미면,2023,10,10,3,43239,46942,40,90221,30073.6667,28729.3333,4.7,86188,4033,47.93,52.03,0.04,4.68
석장리세계구석기축제,충청남도,공주시,월송동,2018,5,5,4,27628,39349,14,66991,16747.75,,,,66991,41.24,58.74,0.02,0
석장리세계구석기축제,충청남도,공주시,월송동,2019,5,5,4,34880,52960,12,87852,21963,16747.75,31.1,66991,20861,39.7,60.28,0.01,31.14
석장리세계구석기축제,충청남도,공주시,월송동,2022,5,5,4,37608,39184,2,76794,19198.5,21963,-12.6,87852,-11058,48.97,51.02,0,-12.59
석장리세계구석기축제,충청남도,공주시,월송동,2023,5,5,3,30681,23278,10,53969,17989.6667,19198.5,-6.3,76794,-22825,56.85,43.13,0.02,-29.72
영동난계국악축제,충청북도,영동군,영동읍,2018,10,10,4,92918,44896,33,137847,34461.75,,,,137847,67.41,32.57,0.02,0
영동난계국악축제,충청북도,영동군,영동읍,2019,10,10,4,88518,45423,378,134319,33579.75,34461.75,-2.6,137847,-3528,65.9,33.82,0.28,-2.56
영동난계국악축제,충청북도,영동군,영동읍,2022,10,10,4,99615,48682,155,148452,37113,33579.75,10.5,134319,14133,67.1,32.79,0.1,10.52
